id,hex,name,rws,type,unit,scale,min,max,desc,rule,default,auth
124,0x7C,AnalogInput:Mode,RWs,enum,0:speed 1:sens_u16 2:sens_i16 3:flow,-,,,Analog input function (sens_u16/i16 raw type; flow overrides Flow LUT),,speed,user
125,0x7D,AnalogInput:SensMin,RWs,uint,-,1,,,Raw value at AnalogInput:Min voltage (type per Mode; no scale),,0,user
126,0x7E,AnalogInput:SensMax,RWs,uint,-,1,,,Raw value at AnalogInput:Max voltage (type per Mode; no scale),,100,user
127,0x7F,Fault:RetryDelay,RWs,uint,s,1,0,3600,Extra delay after braking before auto-retry (min 1s enforced),,60,service
128,0x80,Fault:RetryCount,RWs,uint,-,1,0,10,Auto-restart attempts before permanent fault [0:disabled],,5,service
129,0x81,Fault:RetryTimeout,RWs,uint,s,1,1,3600,Fault-free time to reset retry counter,,300,service
130,0x82,Ctrl:BootDelay,RWs,uint,ms,1,0,60000,Stabilization delay after DC bus reaches Thresh:DcBusMin,,5000,service
131,0x83,Motor:Invert,RWs,bool,-,-,,,Swap phase sequence UVW to UWV; reverses rotation direction,,false,service
132,0x84,Motor:Type,RWs,enum,1:1500W 2:4000W 3:7500W,-,,,Motor and PCB power variant,,1500W/4000W/7500W,admin
133,0x85,Motor:Poles,RWs,uint,-,1,1,20,Pole pair count,,3,admin
134,0x86,Pwm:InitFreq,RWs,uint,Hz,100,0.5,10,Starting frequency for initial rotor alignment,,0.5,admin
135,0x87,Pwm:Deadtime,RWs,uint,ns,1,100,5000,Complementary half-bridge dead-time,,2500,admin
136,0x88,Pwm:ClampShort,RWs,uint,-,1,0,500,Short-pulse suppression in PWM timer counts [0:off],,2,admin
137,0x89,Pwm:Shape,RWs,enum,0:sine 1:svpwm 2:trap,-,,,Output waveform shape,,svpwm,admin
138,0x8A,Ramp:UpdateN,RWs,uint,-,1,1,10000,Frequency step every N PWM cycles,,600,admin
139,0x8B,Ramp:RiseDeltaStart,RWs,uint,Hz,100,0.01,100,Acceleration slew rate at 0Hz,,0.05,admin
140,0x8C,Ramp:RiseDeltaStop,RWs,uint,Hz,100,0.01,100,Acceleration slew rate at Adapt:StopFreq,,0.1,admin
141,0x8D,Ramp:RiseDeltaBend,RWs,int,-,1,-100,100,Bend for acceleration slew rate curve,,0,admin
142,0x8E,Ramp:FallDeltaStart,RWs,uint,Hz,100,0.01,100,Deceleration slew rate at 0Hz,,0.03,admin
143,0x8F,Ramp:FallDeltaStop,RWs,uint,Hz,100,0.01,100,Deceleration slew rate at Adapt:StopFreq,,0.15,admin
144,0x90,Ramp:FallDeltaBend,RWs,int,-,1,-100,100,Bend for deceleration slew rate curve,,0,admin
145,0x91,Brake:TimeStart,RWs,uint,s,1,0,60,Coasting time before restart at 0Hz,,2,admin
146,0x92,Brake:TimeStop,RWs,uint,s,1,0,60,Coasting time before restart at maximum frequency,,60,admin
147,0x93,Brake:TimeBend,RWs,int,-,1,-100,100,Bend for coasting time curve,,0,admin
148,0x94,Brake:StartDelay,RWs,uint,ms,1,0,10000,Static-vector rotor alignment before acceleration begins; PWM holds a frozen phase so the rotor settles at a known angle,,700,admin
149,0x95,MeasCfg:Window,RWs,uint,-,1,32,256,Current and bus window length in samples; RMS/peak/ripple close once per window,,256,admin
150,0x96,MeasCfg:SchmittMin,RWs,uint,-,1,1,1000,Zero-crossing hysteresis floor [ADC counts]; rejects idle noise,,8,admin
151,0x97,MeasCfg:SchmittDiv,RWs,uint,-,1,2,64,Zero-crossing hysteresis divider; threshold = window peak-to-peak / div,,8,admin
152,0x98,MeasCfg:HampelScale,RWs,uint,%,1,0,500,Global Hampel threshold multiplier [0:spike filter off],,100,admin
153,0x99,MeasCfg:ScalarFast,RWs,uint,-,1,0,15,Fast tier EMA shift for voltages and temperatures; tau = 2^n samples at 10kHz,,5,admin
154,0x9A,MeasCfg:ScalarSlow,RWs,uint,-,1,0,15,Slow tier EMA shift for voltages and temperatures,,15,admin
155,0x9B,MeasCfg:WindowFast,RWs,uint,-,1,0,15,Fast tier EMA shift for currents/peaks/ripple; tau = 2^n windows,,1,admin
156,0x9C,MeasCfg:WindowSlow,RWs,uint,-,1,0,15,Slow tier EMA shift for currents/peaks/ripple,,7,admin
157,0x9D,Const:ShuntRes,RWs,uint,mΩ,1,1,100,Current sense shunt resistance,,10/5/2,admin
158,0x9E,Const:ShuntGain,RWs,uint,-,1000,1,65,Current sense amplifier gain (e.g. 20.0 = ×20),,22.0/12.195/21.277,admin
159,0x9F,Const:TempA,RWs,int,°C/V,100,-327,327,Linear temp sensor slope: T = A × V_adc + B (linear sensor variant only),,50.0,admin
160,0xA0,Const:TempB,RWs,int,°C,100,-327,327,Linear temp sensor offset: T = A × V_adc + B (linear sensor variant only),,-5.0,admin
161,0xA1,Const:NtcPullUp,RWs,uint,Ω,1,0,50000,NTC pull-up resistor value,,0/1000/1000,admin
162,0xA2,Const:NtcBeta,RWs,uint,-,1,0,6000,NTC beta coefficient,,0/3375/4000,admin
163,0xA3,Const:NtcR0,RWs,uint,Ω,1,0,50000,NTC resistance at 25°C,,0/5000/22000,admin
164,0xA4,Trim:CurrOffset,RWs,int,A,1000,-5,5,Current zero offset,,0.0,admin
165,0xA5,Trim:CurrScale,RWs,int,%,100,50,200,Current gain correction,,100.0,admin
166,0xA6,Trim:TempOffset,RWs,int,°C,100,-20,20,Power stage temperature offset,,0.0,admin
167,0xA7,Trim:TempScale,RWs,int,%,100,50,200,Power stage temperature gain correction,,100.0,admin
168,0xA8,Trim:DcBusOffset,RWs,int,V,10,-50,50,DC-bus voltage offset,,0.0,admin
169,0xA9,Trim:DcBusScale,RWs,int,%,100,50,200,DC-bus voltage gain correction,,100.8,admin
170,0xAA,Trim:FlybackOffset,RWs,int,V,100,-5,5,Flyback voltage offset,,0.0,admin
171,0xAB,Trim:FlybackScale,RWs,int,%,100,50,200,Flyback voltage gain correction,,100.0,admin
172,0xAC,Trim:PowerOffset,RWs,int,W,1,-1000,1000,Estimated power zero offset,,0,admin
173,0xAD,Trim:PowerScale,RWs,int,%,100,50,200,Estimated power gain correction,,100.0,admin
174,0xAE,Adapt:StopFreq,RWs,uint,Hz,100,5,400,Reference frequency (x_max) for Ramp/Brake/Adapt curves,,300.0,admin
175,0xAF,Adapt:Enable,RWs,bits,0:derate 1:fold 2:excite 3:damp,-,,,Adaptation enable bits; every mechanism is off by default,,0,admin
176,0xB0,Adapt:CurrLimitStart,RWs,uint,A,1000,0.5,30,Current limit at 0Hz,,4/7.0/11.0,admin
